"REF_DATE","GEO","DGUID","Commodity","Destinations","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-08","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","158742","","","","0"
"2018-09","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","201710","","","","0"
"2018-10","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","213885","","","","0"
"2018-11","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","133628","","","","0"
"2018-12","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","138297","","","","0"
"2016-01","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","178927","","","","0"
"2016-02","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","154743","","","","0"
"2016-03","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","104492","","","","0"
"2016-04","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","131481","","","","0"
"2016-05","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","78241","","","","0"
"2016-06","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","26681","","","","0"
"2016-07","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","19249","","","","0"
"2016-08","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","8799","","","","0"
"2016-09","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","7137","","","","0"
"2016-10","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","174582","","","","0"
"2016-11","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","114524","","","","0"
"2016-12","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","160804","","","","0"
"2017-01","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","53547","","","","0"
"2017-02","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","163274","","","","0"
"2017-03","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","166085","","","","0"
"2017-04","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","146776","","","","0"
"2017-05","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","137628","","","","0"
"2017-06","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","209064","","","","0"
"2017-07","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","134603","","","","0"
"2017-08","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","200254","","","","0"
"2017-09","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","85970","","","","0"
"2017-10","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","162978","","","","0"
