"REF_DATE","GEO","DGUID","Type of computer","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.0","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.2","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.0","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.3","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.9","","","","1"
"2017-12","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.8","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.4","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.4","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-04","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-05","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-06","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-07","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-08","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.2","","","","1"
"2018-09","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.2","","","","1"
"2018-10","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-11","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-12","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2016-01","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","101.5","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.4","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.3","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.4","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.1","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.9","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.4","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.4","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.6","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.9","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.3","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.2","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.9","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.6","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.3","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.2","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.0","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.8","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.5","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.6","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","96.4","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","96.4","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","96.5","","","","1"
