"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-11","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8080","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10100","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","12767","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10805","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","11435","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","12642","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10079","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","9240","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7685","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7497","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7249","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","9442","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7952","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","9351","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","11576","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10112","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10117","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","11170","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","896","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1964","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1365","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1699","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1739","","","","0"
